Identifier,ARN,Resource type,Region,AWS Account,Application,CfnResourceType,LastReportedAt,Service,Tags,Tag:kubernetes.io/cluster/eks,Tag:kubernetes.io/service-name
default,arn:aws:rds:us-east-1:990793583275:secgrp:default,rds:secgrp,us-east-1,990793583275,-,AWS::RDS::DBSecurityGroup,Sun Sep 13 2026 07:13:23 GMT-0300 (Brasilia Standard Time),rds,0,(not tagged),(not tagged)
67694c3c-4146-474e-8fc3-b537ffc2cdf9,arn:aws:kms:us-east-1:990793583275:key/67694c3c-4146-474e-8fc3-b537ffc2cdf9,kms:key,us-east-1,990793583275,-,AWS::KMS::Key,Mon Sep 14 2026 19:12:38 GMT-0300 (Brasilia Standard Time),kms,0,(not tagged),(not tagged)
aws-elasticbeanstalk-ec2-role,arn:aws:iam::990793583275:role/aws-elasticbeanstalk-ec2-role,iam:role,global,990793583275,-,AWS::IAM::Role,Sat Sep 12 2026 18:34:38 GMT-0300 (Brasilia Standard Time),iam,0,(not tagged),(not tagged)
Admin-Access,arn:aws:iam::990793583275:group/Admin-Access,iam:group,global,990793583275,-,AWS::IAM::Group,Sun Sep 13 2026 16:16:38 GMT-0300 (Brasilia Standard Time),iam,0,(not tagged),(not tagged)
default,arn:aws:memorydb:us-east-1:990793583275:user/default,memorydb:user,us-east-1,990793583275,-,AWS::MemoryDB::User,Sat Sep 12 2026 11:20:31 GMT-0300 (Brasilia Standard Time),memorydb,0,(not tagged),(not tagged)
DefaultConfiguration/1/00000000000000000000000000000001,arn:aws:apprunner:us-east-1:990793583275:autoscalingconfiguration/DefaultConfiguration/1/00000000000000000000000000000001,apprunner:autoscalingconfiguration,us-east-1,990793583275,-,AWS::AppRunner::AutoScalingConfiguration,Sat Sep 12 2026 07:38:57 GMT-0300 (Brasilia Standard Time),apprunner,0,(not tagged),(not tagged)
default.memorydb-valkey7.search,arn:aws:memorydb:us-east-1:990793583275:parametergroup/default.memorydb-valkey7.search,memorydb:parametergroup,us-east-1,990793583275,-,AWS::MemoryDB::ParameterGroup,Sun Sep 13 2026 01:57:20 GMT-0300 (Brasilia Standard Time),memorydb,0,(not tagged),(not tagged)
aws-elasticbeanstalk-service-role,arn:aws:iam::990793583275:role/aws-elasticbeanstalk-service-role,iam:role,global,990793583275,-,AWS::IAM::Role,Sat Sep 12 2026 18:34:38 GMT-0300 (Brasilia Standard Time),iam,0,(not tagged),(not tagged)
8b578f10-f9ad-4c3d-ab90-ca6ca198cbb3,arn:aws:resource-explorer-2:us-east-1:990793583275:index/8b578f10-f9ad-4c3d-ab90-ca6ca198cbb3,resource-explorer-2:index,us-east-1,990793583275,-,AWS::ResourceExplorer2::Index,Wed Sep 09 2026 13:26:50 GMT-0300 (Brasilia Standard Time),resource-explorer-2,0,(not tagged),(not tagged)
aws-elasticbeanstalk-ec2-role,arn:aws:iam::990793583275:instance-profile/aws-elasticbeanstalk-ec2-role,iam:instance-profile,global,990793583275,-,AWS::IAM::InstanceProfile,Wed Sep 09 2026 20:39:39 GMT-0300 (Brasilia Standard Time),iam,0,(not tagged),(not tagged)
root-account-mfa-device,arn:aws:iam::990793583275:mfa/root-account-mfa-device,iam:mfa,global,990793583275,-,AWS::IAM::VirtualMFADevice,Sat Sep 12 2026 05:17:35 GMT-0300 (Brasilia Standard Time),iam,0,(not tagged),(not tagged)
